odds_api_name,barttorvik_name,normalized_key
Old Dominion,old dominion,old dominion
Oral Roberts,oral roberts,oral roberts
Oregon,oregon,oregon
Oregon State,oregon st.,oregon st
Pacific,pacific,pacific
Pennsylvania,penn,penn
Penn State,penn st.,penn st
Pepperdine,pepperdine,pepperdine
Pittsburgh,pittsburgh,pittsburgh
Portland,portland,portland
Portland State,portland st.,portland st
Prairie View A&M,prairie view a&m,prairie view a&m
Presbyterian,presbyterian,presbyterian
Princeton,princeton,princeton
Providence,providence,providence
Purdue,purdue,purdue
Purdue Fort Wayne,purdue fort wayne,purdue fort wayne
Queens University,queens,queens
Quinnipiac,quinnipiac,quinnipiac
Radford,radford,radford
Rhode Island,rhode island,rhode island
Rice,rice,rice
Richmond,richmond,richmond
Rider,rider,rider
Robert Morris,robert morris,robert morris
Rutgers,rutgers,rutgers
Sacramento State,sacramento st.,sacramento st
Sacred Heart,sacred heart,sacred heart
Saint Francis (Pa),saint francis,saint francis
Saint Joseph's,saint joseph's,saint joseph's
Saint Louis,saint louis,saint louis
Saint Mary's (Ca),saint mary's,saint mary's
Sam Houston State,sam houston st.,sam houston st
Samford,samford,samford
San Diego,san diego,san diego
San Diego State,san diego st.,san diego st
San Francisco,san francisco,san francisco
San Jose State,san jose st.,san jose st
Santa Clara,santa clara,santa clara
Seattle University,seattle,seattle
Seton Hall,seton hall,seton hall
Siena,siena,siena
SIU Edwardsville,siu edwardsville,siu edwardsville
SMU,smu,smu
South Alabama,south alabama,south alabama
South Carolina,south carolina,south carolina
South Carolina State,south carolina st.,south carolina st
South Dakota,south dakota,south dakota
South Dakota State,south dakota st.,south dakota st
South Florida,south florida,south florida
Southeast Missouri State,southeast missouri st.,southeast missouri
Southeastern Louisiana,southeastern louisiana,southeastern louisiana
Southern University,southern,southern
Southern Illinois,southern illinois,southern illinois
Southern Indiana,southern indiana,southern indiana
Southern Miss,southern miss,southern miss
Southern Utah,southern utah,southern utah
Saint Bonaventure,st. bonaventure,st bonaventure
St. Thomas-Minnesota,st. thomas,st thomas
St. Francis Brooklyn,,st. francis ny
St. John's (Ny),st. john's,st. john's
Saint Peter's,saint peter's,st. peter's
Stanford,stanford,stanford
Stephen F. Austin,stephen f. austin,stephen f austin
Stetson,stetson,stetson
Stonehill,stonehill,stonehill
Stony Brook,stony brook,stony brook
Syracuse,syracuse,syracuse
Tarleton State,tarleton st.,tarleton st
TCU,tcu,tcu
Temple,temple,temple
Tennessee,tennessee,tennessee
Tennessee-Martin,tennessee martin,tennessee martin
Tennessee State,tennessee st.,tennessee st
Tennessee Tech,tennessee tech,tennessee tech
Texas,texas,texas
Texas A&M,texas a&m,texas a&m
Texas A&M-Corpus Christi,texas a&m corpus chris,texas a&m corpus christi
Texas Southern,texas southern,texas southern
Texas State,texas st.,texas st
Texas Tech,texas tech,texas tech
Toledo,toledo,toledo
Towson,towson,towson
Troy,troy,troy
Tulane,tulane,tulane
Tulsa,tulsa,tulsa
UAB,uab,uab
UC Davis,uc davis,uc davis
UC Irvine,uc irvine,uc irvine
UC Riverside,uc riverside,uc riverside
UC San Diego,uc san diego,uc san diego
UC Santa Barbara,uc santa barbara,uc santa barbara
UCF,ucf,ucf
UCLA,ucla,ucla
UMass Lowell,umass lowell,umass lowell
UMBC,umbc,umbc
North Carolina-Asheville,unc asheville,unc asheville
North Carolina-Greensboro,unc greensboro,unc greensboro
North Carolina-Wilmington,unc wilmington,unc wilmington
UNLV,unlv,unlv
USC,usc,usc
South Carolina Upstate,usc upstate,usc upstate
Texas-Arlington,ut arlington,ut arlington
Texas-Rio Grande Valley,ut rio grande valley,ut rio grande valley
Utah,utah,utah
Utah State,utah st.,utah st
Utah Tech,utah tech,utah tech
Utah Valley,utah valley,utah valley
UTEP,utep,utep
UTSA,utsa,utsa
Valparaiso,valparaiso,valparaiso
Vanderbilt,vanderbilt,vanderbilt
VCU,vcu,vcu
Vermont,vermont,vermont
Villanova,villanova,villanova
Virginia,virginia,virginia
Virginia Tech,virginia tech,virginia tech
Virginia Military,vmi,vmi
Wagner,wagner,wagner
Wake Forest,wake forest,wake forest
Washington,washington,washington
Washington State,washington st.,washington st
Weber State,weber st.,weber st
West Georgia,west georgia,west georgia
West Virginia,west virginia,west virginia
Western Carolina,western carolina,western carolina
Western Illinois,western illinois,western illinois
Western Kentucky,western kentucky,western kentucky
Western Michigan,western michigan,western michigan
Wichita State,wichita st.,wichita st
William And Mary,william & mary,william & mary
Winthrop,winthrop,winthrop
Wisconsin,wisconsin,wisconsin
Wofford,wofford,wofford
Wright State,wright st.,wright st
Wyoming,wyoming,wyoming
Xavier,xavier,xavier
Yale,yale,yale
Youngstown State,youngstown st.,youngstown st
